datetime_utc_0,actual_time_utc_0,postal,booking_id,committed_time_utc_0,estimated_time_utc_0,status,type
2017-06-09T16:05:46.000+02:00,,10969,7c6012e0-564c-4b2a-a7be-2f5699da9ed2,2017-06-09T16:22:11.000+02:00,2017-06-09T16:22:11.000+02:00,open,pickup
2017-06-09T16:05:54.000+02:00,,10119,b199cf69-840c-4e9b-aa73-e976e2272583,2017-06-09T16:39:52.000+02:00,2017-06-09T16:39:52.000+02:00,open,dropoff
2017-06-09T16:06:45.000+02:00,,10961,f2af9859-3248-4e39-a91a-efbc67178b03,2017-06-09T16:05:34.000+02:00,2017-06-09T16:06:48.000+02:00,open,pickup
2017-06-09T16:06:48.000+02:00,,10119,d4467d91-c6e1-4650-8cb9-787011279ca4,2017-06-09T16:24:10.000+02:00,2017-06-09T16:24:10.000+02:00,open,pickup
2017-06-09T16:06:55.000+02:00,,10119,d4467d91-c6e1-4650-8cb9-787011279ca4,2017-06-09T16:24:10.000+02:00,2017-06-09T16:24:10.000+02:00,cancelled,pickup
2017-06-09T16:07:44.000+02:00,,10719,ce541578-08d3-48e0-b458-ff9a8bac08a6,2017-06-09T16:24:55.000+02:00,2017-06-09T16:24:55.000+02:00,open,dropoff
2017-06-09T16:08:10.000+02:00,2017-06-09T16:08:10.000+02:00,10961,f2af9859-3248-4e39-a91a-efbc67178b03,2017-06-09T16:05:34.000+02:00,2017-06-09T16:06:48.000+02:00,closed,pickup
2017-06-09T16:09:31.000+02:00,2017-06-09T16:09:31.000+02:00,10969,a95c608c-5469-4519-9ce4-3568a0509c75,2017-06-09T16:06:23.000+02:00,2017-06-09T16:06:23.000+02:00,closed,pickup
2017-06-09T16:09:50.000+02:00,2017-06-09T16:09:50.000+02:00,10627,033b73b7-4d12-4f54-ad54-575f559f7eb8,2017-06-09T16:07:59.000+02:00,2017-06-09T16:07:59.000+02:00,closed,pickup
2017-06-09T16:11:01.000+02:00,,10559,59a2b787-cf31-4d9f-9457-9f900e7feef2,2017-06-09T16:27:13.000+02:00,2017-06-09T16:27:13.000+02:00,open,pickup
